UTIL.LOG.EVENT|EVENT|DATE|TIME|USER|MSG|ID|CMD|URI|RETCD|SUBR|TTY|USERNO|PATH|WHO|SENTENCE|HOST|IP|PLATFORM|START|STOP|ELAPSED|PROCESS|FILE|THREAD|CREATE.DATE|ID
20210201-094425065-f8babb7370044|BEGIN|20210201|09:44:25.00720|root|U_TEST|20210201-094425065-f8babb7370044|U_TEST|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|u_test|mercury.local|192.168.0.100|Mac||||U_START||U_TEST|20210201|20210201-094425065-f8babb7370044
20210201-095458698-07367b890c5f4|BEGIN|20210201|09:54:58.00721|root|BCC|20210201-095458698-07367b890c5f4|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-095458698-07367b890c5f4
20210201-095458698-0c8f1f6ba1364|EXECUTE|20210201|09:54:58.00722|root|FORMAT UTIL.BP U_DATE.ADD|20210201-095458698-0c8f1f6ba1364|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-095458698-0c8f1f6ba1364
20210201-095458698-6e7b066270684|EXECUTE|20210201|09:54:58.00724|root|CATALOG UTIL.BP U_DATE.ADD|20210201-095458698-6e7b066270684|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-095458698-6e7b066270684
20210201-095458698-7fbed8f20e914|EXECUTE|20210201|09:54:58.00723|root|BASIC UTIL.BP U_DATE.ADD|20210201-095458698-7fbed8f20e914|BASIC UTIL.BP U_DATE.ADD||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-095458698-7fbed8f20e914
20210201-095508708-25ffe97aaae24|EXECUTE|20210201|09:55:08.00726|root|FORMAT UTIL.BP U_DATE.ADD|20210201-095508708-25ffe97aaae24|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-095508708-25ffe97aaae24
20210201-095508708-c3e2f547dadc4|EXECUTE|20210201|09:55:08.00728|root|CATALOG UTIL.BP U_DATE.ADD|20210201-095508708-c3e2f547dadc4|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-095508708-c3e2f547dadc4
20210201-095508708-d036f18b6db84|EXECUTE|20210201|09:55:08.00727|root|BASIC UTIL.BP U_DATE.ADD|20210201-095508708-d036f18b6db84|BASIC UTIL.BP U_DATE.ADD||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-095508708-d036f18b6db84
20210201-095508708-d617588580444|BEGIN|20210201|09:55:08.00725|root|BCC|20210201-095508708-d617588580444|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-095508708-d617588580444
20210201-095631791-3054ba7838d54|EXECUTE|20210201|09:56:31.00732|root|CATALOG UTIL.BP U_DATE.ADD|20210201-095631791-3054ba7838d54|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-095631791-3054ba7838d54
