Name,Location,Federal state,Organisation,Branches,Categ,Country,,,
Ostfriesische Volksbank eG,Leer,Lower Saxony,GVWE,19,German Coop,Germany,,,
VR-Bank Bergisch Gladbach-Overath-Rösrath eG,Bergisch Gladbach,North Rhine-Westphalia,RWGV,19,German Coop,Germany,,,
VR Bank Südliche Weinstraße eG,Bad Bergzabern,Rhineland-Palatinate,GV,19,German Coop,Germany,,,
Volksbank-Raiffeisenbank Naheland eG,Idar-Oberstein,Rhineland-Palatinate,GV,19,German Coop,Germany,,,
Volksbank Worms-Wonnegau eG,Worms,Rhineland-Palatinate,GV,19,German Coop,Germany,,,
VR Bank Saarpfalz eG,Homburg,Saarland,GV,19,German Coop,Germany,,,
Volksbank Dessau-Anhalt eG,Dessau,Saxony-Anhalt,GV,19,German Coop,Germany,,,
Volksbank Achern eG,Achern,Baden-Württemberg,BWGV,18,German Coop,Germany,,,
Volksbank Esslingen eG,Esslingen,Baden-Württemberg,BWGV,18,German Coop,Germany,,,
H + G BANK Heidelberg Kurpfalz eG,Heidelberg,Baden-Württemberg,BWGV,18,German Coop,Germany,,,
Volksbank Region Leonberg eG,Leonberg,Baden-Württemberg,BWGV,18,German Coop,Germany,,,
Volksbank Metzingen-Bad Urach eG,Metzingen,Baden-Württemberg,BWGV,18,German Coop,Germany,,,
Raiffeisenbank Schweinfurt eG,Arnstein / Schweinfurt,Bavaria,GVB,18,German Coop,Germany,,,
Raiffeisen-Volksbank Ebern eG,Ebern,Bavaria,GVB,18,German Coop,Germany,,,
Ver. Raiffeisenbank Gräfenberg-Forchheim-Eschenau-Heroldsberg eG,Gräfenberg,Bavaria,GVB,18,German Coop,Germany,,,
Genossenschaftsbank Unterallgäu eG,Mindelheim,Bavaria,GVB,18,German Coop,Germany,,,
Volksbank Nienburg eG,Nienburg,Lower Saxony,GV,18,German Coop,Germany,,,
VR Bank Dormagen eG,Dormagen,North Rhine-Westphalia,RWGV,18,German Coop,Germany,,,
Volksbank Marl-Recklinghausen eG,Marl,North Rhine-Westphalia,RWGV,18,German Coop,Germany,,,
Volksbank Mönchengladbach eG,Mönchengladbach,North Rhine-Westphalia,RWGV,18,German Coop,Germany,,,
Volksbank Bitburg eG,Bitburg,Rhineland-Palatinate,RWGV,18,German Coop,Germany,,,
Volksbank Koblenz Mittelrhein eG,Koblenz,Rhineland-Palatinate,GV/RWGV,18,German Coop,Germany,,,
VR Bank Rhein-Mosel eG,Ochtendung,Rhineland-Palatinate,RWGV,18,German Coop,Germany,,,
